YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,2,23,97.04,1.73,3.21,0.05,3.16,142.06,2.55,4.34,0.23,4.1,118.38,65.81,26.05
2021,2,24,96.97,1.81,2.78,0.88,1.91,172.38,2.53,3.55,0.88,2.68,172.25,63.62,26.24
2021,2,25,97.02,1.84,3.29,0.89,2.39,202.5,2.48,4.3,1.28,3.02,193.88,68.06,26.39
2021,2,26,96.93,2.49,3.62,1.32,2.3,222.06,3.42,4.85,1.73,3.12,224.94,71.31,26.23
2021,2,27,96.8,2.02,3.13,0.49,2.64,196,2.7,4.32,0.54,3.78,202,67.06,26.58
2021,2,28,96.8,1.96,3.13,0.09,3.05,166.12,2.72,4.15,0.23,3.91,167.06,64.5,26.82
2021,3,1,97.09,1.38,2.92,0.61,2.3,190.5,1.92,3.34,0.38,2.97,182.62,63.44,26.98
2021,3,2,97.1,1.19,2.3,0.23,2.07,187.75,1.77,2.82,0.59,2.23,137.56,63.75,26.67
2021,3,3,96.93,1.52,2.45,0.78,1.66,111.12,2.62,3.88,1.29,2.59,92.19,57.44,26.74
2021,3,4,96.96,1.8,3.47,0.48,2.98,145.31,2.89,4.82,0.33,4.49,142.88,53.81,26.55
2021,3,5,97.12,1.48,3.38,0.44,2.94,203.06,2.06,4.1,0.78,3.32,177.5,57.94,26.58
2021,3,6,97.15,1.82,3.48,0.45,3.04,269.88,2.33,5.11,0.62,4.48,261.31,67.88,26.73
2021,3,7,97,1.45,2.52,0.33,2.2,182.81,1.98,3.02,1,2.02,148.12,59.75,27.21
2021,3,8,97.01,1.95,3.58,0.52,3.05,177.31,2.83,4.56,0.48,4.08,172.75,58.69,26.94
2021,3,9,97.06,1.59,2.81,0.16,2.65,153.62,2.42,4.18,0.2,3.98,141.44,54.44,27.23
2021,3,10,97.08,1.62,3.2,0.17,3.02,168.5,2.31,4.02,0.72,3.3,168.56,62.44,26.74
2021,3,11,97.1,1.61,2.7,0.52,2.18,170.75,2.31,3.59,0.63,2.96,169.88,68.88,26
2021,3,12,97.15,1.12,2.28,0.27,2.02,197.75,1.47,2.71,0.65,2.05,190.25,66.56,27.12
2021,3,13,97.09,1.38,2.73,0.17,2.55,180.62,1.9,3.18,0.52,2.66,141,57.25,27.16
2021,3,14,96.95,2.01,3.36,1,2.36,181.62,2.84,4.7,0.76,3.95,180.19,57.19,26.92
2021,3,15,96.91,1.67,3.22,0.27,2.95,217.12,2.25,4.58,0.45,4.13,214.62,64.81,27.48
2021,3,16,96.91,1.93,3.37,0.73,2.64,178.81,2.7,4.78,0.48,4.3,177.12,60.06,27.49
2021,3,17,96.81,1.73,3.68,0.62,3.05,166.75,2.45,4.43,0.75,3.69,162.12,56.88,27.69
2021,3,18,96.87,1.79,3.57,0.43,3.14,200.38,2.39,5.07,0.34,4.73,184.25,63.44,27.62
2021,3,19,96.83,1.63,4.04,0.77,3.27,216.31,1.91,5.07,0.66,4.41,192.62,63.44,28.01
2021,3,20,96.76,1.92,3.68,0.73,2.96,229.62,2.49,5.06,0.84,4.23,227.62,61.94,27.8
2021,3,21,96.74,1.73,3.57,0.48,3.09,198.88,2.29,4.81,0.49,4.33,198,66.38,27.82
2021,3,22,96.84,1.72,3.66,0.54,3.12,178.06,2.27,5.16,0.38,4.79,176.44,63.19,28.3
2021,3,23,96.88,1.38,3.62,0.25,3.38,226.62,1.75,5.17,0.34,4.84,221.25,64.5,28.68
2021,3,24,96.9,1.52,3.12,0.32,2.8,207.75,2.05,4.27,0.24,4.02,207.12,64.88,28.3
2021,3,25,96.88,1.33,3.27,0.26,3.01,255.12,1.7,4.47,0.26,4.21,247.56,69.12,27.91
2021,3,26,96.76,1.06,3.19,0.16,3.03,148.56,1.45,3.62,0.2,3.42,139.75,60,29.48
2021,3,27,96.75,1.84,4.18,0.35,3.82,192.06,2.59,5.55,0.45,5.1,182.38,62.75,29.2
2021,3,28,96.75,1.59,3.13,0.07,3.06,249.62,2.06,4.36,0.26,4.1,225.62,65.62,28.98
2021,3,29,96.74,1.77,3.94,0.15,3.79,230.56,2.26,5.12,0.31,4.8,209.44,63.38,29.15
2021,3,30,96.71,2.34,3.34,1.45,1.9,281.69,2.95,4.18,1.66,2.52,281.88,70.5,28.17
2021,3,31,96.62,2.24,4.16,0.77,3.39,304.88,2.73,5.26,0.77,4.49,304,69.38,28.44
2021,4,1,96.64,2.78,4.18,1.85,2.33,306.12,3.68,5.16,2.35,2.8,305.94,64.81,27.97
2021,4,2,96.69,2.5,3.69,1.77,1.91,308.38,3.39,4.44,2.39,2.05,307.25,64.69,27.43
2021,4,3,96.78,2.58,4.11,1.55,2.56,286.56,3.37,4.81,2.02,2.78,284.5,67.81,26.61
2021,4,4,96.87,2.66,4.22,1.79,2.43,314.62,3.34,5.38,2.13,3.25,317.25,63.81,27.43
2021,4,5,96.79,2.7,4.31,1.53,2.77,255.5,3.55,5.78,1.79,4,232.31,63.44,28.83
2021,4,6,96.8,1.87,3.97,0.71,3.26,205.56,2.5,5.11,0.97,4.14,191.31,60.88,29.3
2021,4,7,96.91,1.99,4.31,0.95,3.36,209.38,2.51,5.57,1.01,4.57,207.5,62.69,29.42
2021,4,8,96.79,2.01,4.15,0.57,3.58,271.38,2.37,5.2,0.7,4.51,266.81,62.5,28.98
2021,4,9,96.7,1.76,4.09,0.37,3.72,278.94,2.04,5.21,0.44,4.77,265.56,61.38,29.12
2021,4,10,96.79,1.59,3.44,0.18,3.27,224.62,1.93,4.56,0.2,4.36,207.62,63,29.25
2021,4,11,96.95,1.52,3.16,0.66,2.49,260.19,1.87,4.24,0.09,4.15,251.88,66.94,28.59
2021,4,12,97.01,1.54,3.47,0.16,3.31,258.5,1.97,4.26,0.1,4.15,239.62,72.94,28.05
2021,4,13,97,1.67,3.42,0.95,2.48,220.62,2.3,4.48,1.15,3.33,214.81,74.62,27.76
2021,4,14,96.95,1.34,2.66,0.21,2.44,225.12,1.93,3.78,0.21,3.57,207.81,74.75,27.36
2021,4,15,96.95,1.84,3.36,0.68,2.68,215.06,2.47,4.05,0.78,3.27,213.38,73.81,27.32
2021,4,16,96.89,1.79,3.44,0.65,2.79,264.81,2.34,4.35,0.91,3.45,253.88,74.25,27.48
2021,4,17,96.93,1.66,3.11,0.82,2.28,288.81,2.22,3.84,0.91,2.93,291.44,74.31,27.85
2021,4,18,97.04,1.73,3.43,0.15,3.28,252.12,2.27,4.21,0.12,4.09,247.31,73.31,27.96
2021,4,19,96.94,1.73,2.35,1.23,1.12,257.94,2.57,3.12,1.57,1.56,256.69,77.12,27.08
2021,4,20,96.83,1.62,2.93,0.17,2.76,218.81,2.51,4.52,0.49,4.03,210,74.5,27.39
2021,4,21,96.95,1.73,2.99,0.23,2.77,297.38,2.45,4.13,0.33,3.8,285.56,73.5,27.44
2021,4,22,96.93,1.81,2.91,1.1,1.8,306.25,2.4,3.7,1.48,2.23,306.69,75.5,27.26
2021,4,23,96.95,1.49,2.48,0.84,1.63,261.5,2.07,3.52,0.81,2.71,260.75,77.56,26.83
2021,4,24,96.84,1.68,3.12,0.3,2.82,282.31,2.14,4.12,0.27,3.84,244.62,72.5,27.98
2021,4,25,96.8,1.59,2.77,0.65,2.12,185.62,2.39,4.16,1.13,3.03,182.25,72.5,28.31
2021,4,26,96.76,1.73,3.1,0.43,2.67,260.81,2.45,4.47,0.48,3.98,233,68.81,29.12
2021,4,27,96.84,1.54,2.8,0.26,2.55,292.5,2.09,3.96,0.37,3.59,258.31,72.81,28.2
2021,4,28,96.93,1.48,2.52,0.7,1.82,296.56,2.05,4.31,0.78,3.53,301.56,73.25,28.27
2021,4,29,96.85,1.92,3.02,1.07,1.96,298.38,2.48,4.02,0.86,3.16,299.06,70.69,28.67
2021,4,30,96.72,1.67,2.41,0.48,1.93,183.19,2.38,3.49,0.48,3.02,171.44,67.19,29.21
2021,5,1,96.7,1.65,3.25,0.2,3.05,258.06,2.1,4.03,0.19,3.84,234.19,71.62,29.08
2021,5,2,96.76,1.21,2.04,0.27,1.77,289.88,1.76,3.75,0.1,3.65,291.81,75.88,28.12
2021,5,3,96.68,1.66,3.24,0.26,2.98,222,2.19,4.37,0.18,4.2,213.19,72.5,28.69
2021,5,4,96.68,1.38,1.81,0.95,0.87,292,2.06,3.07,1.17,1.9,296.19,79.06,27.65
2021,5,5,96.68,1.44,2.84,0.49,2.34,261.19,1.87,3.4,0.23,3.16,262.5,79.44,28.21
2021,5,6,96.74,1.52,3.19,0.63,2.55,238.19,1.91,3.88,0.83,3.05,233.5,81.62,27.84
2021,5,7,96.8,1.09,2.59,0.17,2.42,213.25,1.42,3.13,0.12,3.01,203.81,77.19,28.25
2021,5,8,96.71,1.31,3.06,0.32,2.74,220.19,1.78,3.84,0.37,3.47,213.12,77.12,28.28
2021,5,9,96.69,1.4,1.95,1.09,0.84,254.19,2.05,2.62,1.3,1.33,254.38,82.44,27.35
2021,5,10,96.66,1.62,2.56,1.04,1.52,282.81,2.35,3.04,1.3,1.73,283.69,81.81,27.6
2021,5,11,96.68,1.62,1.93,1.33,0.6,288.06,2.48,3.27,1.52,1.75,289,84.44,27.57
2021,5,12,96.6,1.83,2.41,1.26,1.16,291,2.7,3.93,1.26,2.67,289.06,84.75,27.26
2021,5,13,96.54,2.1,2.84,1.29,1.55,253.81,3.18,4.39,1.66,2.73,252.12,84.75,27.07
2021,5,14,96.27,4.02,5.41,2.74,2.66,146.69,5.73,7.61,4.56,3.05,148.25,80.81,26.83
2021,5,15,95.89,7.05,12.76,3.23,9.52,142.5,9.87,17.15,5.23,11.91,144.44,88.81,25.55
2021,5,16,96.24,6.29,8.27,4,4.27,204.62,8.88,11.41,6.19,5.23,204.62,87.12,26.49
2021,5,17,96.59,4.02,5.73,2.92,2.8,194.75,5.93,7.73,4.79,2.95,196,89.06,26.17
2021,5,18,96.64,3.62,4.6,2.58,2.02,195.56,5.39,6.25,4.14,2.11,196.69,89.69,26.3
2021,5,19,96.66,2.86,3.79,1.9,1.89,213.44,4.32,5.01,3.29,1.73,213.88,88.69,26.15
2021,5,20,96.74,2.55,3.49,1.66,1.84,210.94,3.78,4.55,2.99,1.57,212.81,86.69,25.74
2021,5,21,96.79,2.29,3.6,1.47,2.13,207.19,3.37,4.58,2.52,2.05,210.56,85.25,25.53
2021,5,22,96.78,1.87,2.45,1.53,0.91,232.62,2.87,3.16,2.43,0.73,234.25,86.06,25.4
2021,5,23,96.82,2.05,3.3,1.28,2.02,275,3.09,4.21,2.19,2.02,273.06,82.88,25.82
2021,5,24,96.87,2.38,3.27,1.74,1.52,288.62,3.56,4.12,3.08,1.05,286.81,83.56,26.1
2021,5,25,96.73,3.04,3.93,2.34,1.6,278.19,4.59,5.23,3.8,1.44,277.12,88.38,25.65
2021,5,26,96.72,4.02,5.3,3.03,2.27,260.56,5.84,6.91,4.84,2.07,260.69,86.19,25.61
2021,5,27,96.76,3.38,4.88,1.91,2.97,274.38,5,6.27,3.52,2.75,274,82,26.11
2021,5,28,96.82,2.35,3.5,1.38,2.12,256,3.6,4.55,2.63,1.92,255.62,86.25,25.89
2021,5,29,96.87,2.68,3.7,1.66,2.04,251.06,4.04,4.68,3.15,1.54,250.19,83.88,26.09
2021,5,30,96.84,2.61,3.8,1.47,2.34,242.06,3.79,4.81,2.59,2.22,241.44,84.12,25.52
2021,5,31,96.58,3,3.72,1.65,2.07,232.62,4.29,4.82,3.06,1.76,231.44,87.94,25.88
2021,6,1,96.57,2.7,4.1,1.41,2.7,236.31,4,5.39,2.42,2.97,236.44,89,26.47
2021,6,2,96.63,1.73,2.63,1.02,1.61,227.06,2.59,3.34,1.83,1.51,227.94,88.25,25.89
2021,6,3,96.71,1.7,3,0.26,2.74,250.44,2.51,3.72,0.47,3.25,246.25,86,26.69
2021,6,4,96.81,1.85,2.33,1.26,1.07,243.31,2.88,3.87,1.63,2.23,244.38,88.81,25.94
2021,6,5,96.81,2.52,3.53,1.9,1.63,216.38,3.68,4.66,2.34,2.32,215.44,82.81,25.32
2021,6,6,96.82,1.92,3.08,1.27,1.81,234.31,2.8,3.91,1.6,2.3,236.44,80.69,25.44
2021,6,7,96.89,2.01,3.4,1.25,2.15,274.94,2.98,4.32,1.86,2.46,274.06,83.38,25.45
2021,6,8,96.84,2.65,4.35,1.43,2.92,277.19,3.93,5.59,2.7,2.9,276,85.19,25.73
2021,6,9,96.75,3.47,5.33,2.34,2.99,272.19,5.15,7.09,4.22,2.88,271.5,86.12,26.06
2021,6,10,96.66,3.59,5.22,2.62,2.6,266.81,5.33,6.94,4.34,2.59,266.44,86.19,25.68
2021,6,11,96.73,3.26,4.46,2.26,2.2,258.94,4.88,5.82,3.97,1.85,258.75,86.19,25.88
2021,6,12,96.8,3.22,4.67,1.88,2.8,261.38,4.85,6.36,3.17,3.19,261.12,85.25,24.56
2021,6,13,96.74,3.67,6.23,1.65,4.59,267.06,5.57,8.55,2.95,5.6,267.44,85,24.65
2021,6,14,96.58,5.53,7.98,2.69,5.29,250.69,8,10.86,4.56,6.3,251.12,89.5,25.23
2021,6,15,96.57,4.54,5.87,3.64,2.23,260.81,6.8,8.27,5.45,2.82,260.81,89.81,25.26
2021,6,16,96.68,4.74,5.52,3.36,2.16,245.75,7.09,7.97,5.48,2.48,246.38,91.12,25.62
2021,6,17,96.76,4.84,6.27,3.84,2.44,245.69,7.18,8.66,5.95,2.7,246.25,88.75,25.95
2021,6,18,96.88,4.61,5.94,2.99,2.95,243,6.83,8.19,5,3.19,243.38,88.25,25.46
2021,6,19,96.99,4.4,5.5,3.14,2.36,244.88,6.59,7.66,4.94,2.72,245.31,89.12,25.55
2021,6,20,97,3.32,4.3,2.02,2.27,264.75,5.04,6.26,3.54,2.73,264.5,90.19,25.22
2021,6,21,96.91,2.87,3.79,1.87,1.92,276.19,4.32,4.98,3.49,1.48,274.81,90.12,25.27
2021,6,22,96.82,2.88,4.04,1.93,2.11,292.81,4.36,5.23,3.59,1.63,291.5,89.12,25.4
2021,6,23,96.82,2.91,4.18,2.17,2.01,289.81,4.38,5.46,3.68,1.77,288.56,87.62,25.51
2021,6,24,96.88,3.16,4.52,2.3,2.22,274.81,4.75,6.01,4.04,1.97,273.88,86.94,25.41
2021,6,25,96.79,2.98,4.07,2.27,1.8,277,4.51,5.36,3.69,1.67,275.75,87.12,25.16
2021,6,26,96.76,3.27,4.34,1.86,2.47,283.19,4.92,5.73,3.46,2.27,282.19,87.62,25.18
2021,6,27,96.89,2.07,3.12,0.84,2.28,299.25,3.12,4.16,1.3,2.86,297.62,83.62,23.72
2021,6,28,96.77,2,3.95,0.87,3.09,235.19,2.75,4.86,1.27,3.59,233.38,84.19,23.82
